country_code,Access to electricity (% of population),Bribery incidence (% of firms experiencing at least one bribe payment request),CO2 emissions (metric tons per capita),Current health expenditure (% of GDP),Domestic general government health expenditure (% of GDP),Domestic private health expenditure (% of current health expenditure),Ease of doing business score (0 = lowest performance to 100 = best performance),"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",GDP per capita (current US$),GDP per capita growth (annual %),Gini index,Households and NPISHs Final consumption expenditure per capita (constant 2015 US$),"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, adult total (% of people ages 15 and above)",Logistics performance index: Overall (1=low to 5=high),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),"Mortality rate, under-5 (per 1,000 live births)","Primary completion rate, total (% of relevant age group)",Proportion of seats held by women in national parliaments (%),Rural population (% of total population),Strength of legal rights index (0=weak to 12=strong),"Suicide mortality rate (per 100,000 population)","Unemployment, total (% of total labor force) (modeled ILO estimate)"
SLV,97.24000040690107,,1.1592998914646202,7.14154641,4.542240623333334,35.90098445,65.14204000000001,33.5802917480469,56.3006680806478,4129.362217636227,1.8786950473725135,38.733333333333334,3320.333523418673,63.050000000000004,87.2904383341471,91.23824564615887,89.09481048583984,2.58,1.1585610013614167,156.37519226666666,13.466666666666669,,30.952380952381002,27.495,9.0,6.066666666666666,4.116666793823247
SMR,100.0,,,6.564819653333333,5.41515859,17.525929129999998,64.18028333333332,53.9379501342773,,48150.2875918642,1.6011909777561932,,16231.766015887266,,,,,,,114.2798454,1.8333333333333333,97.88104502360017,25.555555555555568,2.67933333333334,1.0,,
SOM,49.721659342447936,,0.04444576913527157,,,,20.040206666666666,,27.63433265686037,409.54033695204663,4.916892601596923,,,49.373333333333335,,,,2.21,,52.513204456666664,119.53333333333335,,24.3636363636364,54.64033333333333,0.0,7.933333333333334,18.835332870483366
SRB,99.86666870117188,6.9,6.6128373077879,8.625269253333334,5.061883130000001,39.98708979,75.07677000000001,73.6363830566406,48.48699951171873,7362.269718261313,4.951261130854346,34.666666666666664,4511.553938061973,67.53333333333333,99.115608215332,99.8758087158203,99.4825286865234,2.84,2.0157163223578567,121.7234355,5.733333333333333,98.68605550130208,36.567881241565466,43.796,6.0,11.366666666666667,11.170000076293967
SSA,46.8553578419322,,0.7434781743441533,4.993391470189273,2.020805415275517,47.743134238595594,51.30220007092197,,62.619032899490264,1613.5246292842596,-0.06421407280089429,,1131.2706452188431,68.340482104896,58.63550059000654,72.09979756673177,65.27831522623701,2.44974358974359,1.01764689261525,80.48969638941723,76.3608783006677,69.74320983886717,24.08762190300473,59.46724435320647,5.21276595744681,6.996916162287394,6.568786842747791
SSD,6.529061158498126,,0.14952451349281934,6.11998145,0.8850112333333334,28.000964483333334,34.295856666666666,,64.66000366210936,,,,,73.82666666666667,28.8642597198486,40.2648086547852,34.5227584838867,,3.5887541184851828,19.210422583333333,97.90000000000002,,28.4595300261097,80.19566666666667,2.0,3.8666666666666667,12.2296667098999
SSF,46.86007234890156,,0.7439588880300017,4.99360313992333,2.0225055731095964,47.72329605530663,51.517515694444434,,62.619032899490264,1614.9016535134367,-0.0636018110457284,,1131.94419726762,68.34048210489607,58.69141642252607,72.13787587483728,65.32540130615233,2.44974358974359,1.01796260696906,80.50019847183903,76.39999999999999,69.74484761555989,24.07683734869923,59.46578567020186,5.14583333333333,6.997016981888277,6.568786842747791
SST,81.9499142306018,,5.6466912988498095,4.9109141546082,3.1097132232657,34.0742280249591,59.12739437500003,,57.072299221601234,12748.450320177666,0.3281615617309987,,5143.641779216369,69.13249004635993,85.08998107910152,88.39331563313802,86.83410898844399,2.6428,,114.11435466172999,42.951202259133105,87.21992746988933,18.876403891984868,40.987612959951896,5.569444444444446,12.978448723595967,9.183836366317875
STP,73.64480082194014,,0.686147980950996,5.63440752,2.6772509433333336,18.85357666333333,44.971450000000004,,46.7610003153483,1976.2242202346533,0.5414981626721739,,,59.99,89.5157318115234,96.1626815795898,92.8166427612305,2.65,,77.07075067666666,17.366666666666667,,14.545454545454499,26.667,0.0,1.5,14.116333325703968
SUR,97.68361155192058,12.7,4.317799929617956,9.123799166666666,6.429264066666666,28.94907761,47.45334333333333,,51.66999944051107,6881.8246010109,1.4252872941024979,,,56.84666666666667,92.7120590209961,96.0740432739258,94.3832702636719,,,136.85942593333334,18.3,85.6254323323568,29.411764705882334,33.916666666666664,2.0,25.433333333333334,8.002000013987226
